"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8368","TC_01.02!01_107_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Buy]","chromium","Tue Jan 14 19:12:19 GMT 2025","passed","Tue Jan 14 19:12:27 GMT 2025","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","US_01.02.01_Markets_shares_instruments.spec.ts","",""
"","11826","TC_01.03!01_101_UnReg | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Add to favourite]","chromium","Tue Jan 14 19:20:31 GMT 2025","passed","Tue Jan 14 19:20:43 GMT 2025","US_01.03!01 | Menu [Markets] > Menu item [Forex] > Page of ""Shares"" trading instrument , FCA license, EN language > TC_01.03!01_101 | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Add to favourite]","US_01.03!01_Markets_forex_instruments.spec.ts","",""
"","32780","TC_01.04!00_103_UnAuth | Markets > Menu item [Indices] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","chromium","Tue Jan 14 19:28:12 GMT 2025","passed","Tue Jan 14 19:28:45 GMT 2025","US_01.04!00 | Markets > Menu item [Indices], FCA license, EN language > TC_01.04!00_102 | Markets > Menu item [Indices] > Click button [Try Demo] in the block ""Indices trading"" > TC_01.04!00_103 | Markets > Menu item [Indices] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","US_01.04!00_Markets_indices.spec.ts","",""
"","40051","TC_01.02!01_107_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Buy]","chromium","Tue Jan 14 19:15:19 GMT 2025","passed","Tue Jan 14 19:15:59 GMT 2025","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","US_01.02.01_Markets_shares_instruments.spec.ts","",""
"","13477","TC_01.04!00_103_UnReg | Markets > Menu item [Indices] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","chromium","Tue Jan 14 19:26:58 GMT 2025","passed","Tue Jan 14 19:27:12 GMT 2025","US_01.04!00 | Markets > Menu item [Indices], FCA license, EN language > TC_01.04!00_102 | Markets > Menu item [Indices] > Click button [Try Demo] in the block ""Indices trading"" > TC_01.04!00_103 | Markets > Menu item [Indices] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","US_01.04!00_Markets_indices.spec.ts","",""
"","27068","TC_01.02!01_106_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Sell]","chromium","Tue Jan 14 19:16:11 GMT 2025","passed","Tue Jan 14 19:16:38 GMT 2025","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","US_01.02.01_Markets_shares_instruments.spec.ts","",""
"","60170","TC_01.03!01_104_Auth | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Widget “Trading instrument” > Click button [Notification]","chromium","Tue Jan 14 19:22:18 GMT 2025","broken","Tue Jan 14 19:23:18 GMT 2025","US_01.03!01 | Menu [Markets] > Menu item [Forex] > Page of ""Shares"" trading instrument , FCA license, EN language > TC_01.03!01_104 | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Widget “Trading instrument” > Click button [Notification]","US_01.03!01_Markets_forex_instruments.spec.ts","",""
"","26156","TC_01.03!01_107_Auth | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Buy] on the widget “Trading instrument","chromium","Tue Jan 14 19:25:07 GMT 2025","passed","Tue Jan 14 19:25:33 GMT 2025","US_01.03!01 | Menu [Markets] > Menu item [Forex] > Page of ""Shares"" trading instrument , FCA license, EN language > TC_01.03!01_107 | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Buy] on the widget “Trading instrument","US_01.03!01_Markets_forex_instruments.spec.ts","",""
"","62491","TC_01.03!01_106_Auth | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Sell] on the widget “Trading instrument","chromium","Tue Jan 14 19:24:07 GMT 2025","broken","Tue Jan 14 19:25:09 GMT 2025","US_01.03!01 | Menu [Markets] > Menu item [Forex] > Page of ""Shares"" trading instrument , FCA license, EN language > TC_01.03!01_106 | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Click button [Sell] on the widget “Trading instrument","US_01.03!01_Markets_forex_instruments.spec.ts","",""
"","10347","TC_01.03!01_104_UnReg | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Widget “Trading instrument” > Click button [Notification]","chromium","Tue Jan 14 19:21:38 GMT 2025","passed","Tue Jan 14 19:21:48 GMT 2025","US_01.03!01 | Menu [Markets] > Menu item [Forex] > Page of ""Shares"" trading instrument , FCA license, EN language > TC_01.03!01_104 | Markets > Menu item [Forex] > Page of ""Forex"" trading instrument > Widget “Trading instrument” > Click button [Notification]","US_01.03!01_Markets_forex_instruments.spec.ts","",""
