"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 10:45:14 GMT 2024","Wed Oct 23 10:45:23 GMT 2024","8727","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_102_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Long position overnight fee"" --> Click button [Go to platform]",""
"passed","Wed Oct 23 10:46:03 GMT 2024","Wed Oct 23 10:46:23 GMT 2024","19689","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_101_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Add to favourite]",""
"passed","Wed Oct 23 10:48:44 GMT 2024","Wed Oct 23 10:49:05 GMT 2024","21107","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_102_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Long position overnight fee"" --> Click button [Go to platform]",""
"passed","Wed Oct 23 10:48:26 GMT 2024","Wed Oct 23 10:48:44 GMT 2024","18169","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_101_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Add to favourite]",""
"passed","Wed Oct 23 10:45:23 GMT 2024","Wed Oct 23 10:45:31 GMT 2024","8493","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_103_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Short position overnight fee"" --> Click button [Go to platform]",""
"passed","Wed Oct 23 10:47:45 GMT 2024","Wed Oct 23 10:48:06 GMT 2024","20788","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_106_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Sell]",""
"passed","Wed Oct 23 10:39:10 GMT 2024","Wed Oct 23 10:39:34 GMT 2024","23947","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up] in the block ""Shares trading""",""
"passed","Wed Oct 23 10:33:16 GMT 2024","Wed Oct 23 10:33:34 GMT 2024","17888","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_102 | Markets > Menu section [Markets] > Click button [Try demo account] in the block ""Access thousands of global markets""","","","TC_01.01!00_102_Auth | Markets > Menu section [Markets] > Click button [Try demo account] in the block ""Access thousands of global markets""",""
"passed","Wed Oct 23 10:46:43 GMT 2024","Wed Oct 23 10:47:05 GMT 2024","21518","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_103_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Hover over tooltip ""Short position overnight fee"" --> Click button [Go to platform]",""
"failed","Wed Oct 23 10:41:48 GMT 2024","Wed Oct 23 10:42:12 GMT 2024","23733","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo] in the block ""Discover trading excellence with Capital.com""",""
"passed","Wed Oct 23 10:40:42 GMT 2024","Wed Oct 23 10:41:06 GMT 2024","24060","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_103_UnAuth | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Wed Oct 23 10:32:55 GMT 2024","Wed Oct 23 10:33:15 GMT 2024","19715","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_102 | Markets > Menu section [Markets] > Click button [Try demo account] in the block ""Access thousands of global markets""","","","TC_01.01!00_102_UnAuth | Markets > Menu section [Markets] > Click button [Try demo account] in the block ""Access thousands of global markets""",""
"passed","Wed Oct 23 10:49:48 GMT 2024","Wed Oct 23 10:50:08 GMT 2024","20528","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_105_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [View detailed chart] on the widget “Trading instrument",""
"passed","Wed Oct 23 10:42:12 GMT 2024","Wed Oct 23 10:42:49 GMT 2024","37053","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_105_UnAuth | Markets > Menu item [Shares] > Click four random trading instruments on the widget “Trading instrument”",""
"passed","Wed Oct 23 10:38:46 GMT 2024","Wed Oct 23 10:38:52 GMT 2024","6664","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnReg Role","","","TC_01.02!00_104_UnReg | Markets > Menu item [Shares] > Click button [Try Demo] in the block ""Discover trading excellence with Capital.com""",""
"passed","Wed Oct 23 10:31:52 GMT 2024","Wed Oct 23 10:32:10 GMT 2024","18684","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_101 | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""","","","TC_01.01!00_101_Auth | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""",""
"passed","Wed Oct 23 10:45:47 GMT 2024","Wed Oct 23 10:45:55 GMT 2024","7873","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_106_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Sell]",""
"passed","Wed Oct 23 10:44:26 GMT 2024","Wed Oct 23 10:44:56 GMT 2024","30692","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_Auth Role","","","TC_01.02!00_105_Auth | Markets > Menu item [Shares] > Click four random trading instruments on the widget “Trading instrument”",""
"passed","Wed Oct 23 10:51:15 GMT 2024","Wed Oct 23 10:51:33 GMT 2024","18190","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_101 | Markets > Menu item [Forex] > Click button [Create account] in the block ""Forex trading""","","","TC_01.03!00_101_Auth | Markets > Menu item [Forex] > Click button [Create account] in the block ""Forex trading""",""
"passed","Wed Oct 23 10:54:29 GMT 2024","Wed Oct 23 10:54:35 GMT 2024","6412","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_103 | Markets > Menu item [Forex] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""","","","TC_01.03!00_103_UnReg | Markets > Menu item [Forex] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""",""
