"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 08:39:12 GMT 2024","Wed Oct 23 08:39:31 GMT 2024","18589","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_Auth Role","","","TC_01.02!01_104_Auth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Notification] on the widget “Trading instrument",""
"passed","Wed Oct 23 08:27:18 GMT 2024","Wed Oct 23 08:27:49 GMT 2024","31053","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.00!00_105 | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""","","","TC_01.01!00_105_UnAuth | Markets > Menu section [Markets] > Click button [Create account] in the block ""Access thousands of global markets""",""
"broken","Wed Oct 23 08:51:38 GMT 2024","Wed Oct 23 08:53:38 GMT 2024","120138","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_102 | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""","","","TC_01.03!00_102_UnAuth | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""",""
"passed","Wed Oct 23 08:35:47 GMT 2024","Wed Oct 23 08:35:54 GMT 2024","7168","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnReg Role","","","TC_01.02!01_107_UnReg | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Buy]",""
"failed","Wed Oct 23 08:31:46 GMT 2024","Wed Oct 23 08:32:09 GMT 2024","22407","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_UnAuth Role","","","TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo] in the block ""Discover trading excellence with Capital.com""",""
"passed","Wed Oct 23 08:23:55 GMT 2024","Wed Oct 23 08:24:00 GMT 2024","5593","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_104 | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""","","","TC_01.01!00_104_UnReg | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""",""
"passed","Wed Oct 23 08:26:40 GMT 2024","Wed Oct 23 08:26:58 GMT 2024","17921","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_104 | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""","","","TC_01.01!00_104_Auth | Markets > Menu section [Markets] > Click button [Try Demo] in the block ""Why choose Capital.com for your trading?""",""
"passed","Wed Oct 23 08:34:56 GMT 2024","Wed Oct 23 08:35:01 GMT 2024","5849","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > TC_01.02!00_199_All Roles","","","TC_01.02!00_199 | Markets > Menu item [Shares] > Collecting links from widget “Trading instrument”",""
"broken","Wed Oct 23 08:57:42 GMT 2024","Wed Oct 23 08:59:42 GMT 2024","120149","chromium","US_01.03!00_Markets_forex.spec.ts","US_01.03!00 | Markets > Menu item [Forex], FCA license, EN language > TC_01.03!00_102 | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""","","","TC_01.03!00_102_Auth | Markets > Menu item [Forex] > Click button [Try Demo] in the block ""Forex trading""",""
"passed","Wed Oct 23 08:35:54 GMT 2024","Wed Oct 23 08:36:13 GMT 2024","18980","chromium","US_01.02.01_Markets_shares_instruments.spec.ts","US_01.02!01 | Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument , FCA license, EN language > US_01.02!01_UnAuth Role","","","TC_01.02!01_101_UnAuth | Markets > Menu [Markets] > Menu item [Shares] > Page of ""Shares"" trading instrument > Click button [Add to favourite]",""
"passed","Wed Oct 23 08:33:09 GMT 2024","Wed Oct 23 08:33:35 GMT 2024","26552","chromium","US_01.02.00_Markets_shares.spec.ts","US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license, EN language > US_01.02!00_Auth Role","","","TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"passed","Wed Oct 23 08:23:39 GMT 2024","Wed Oct 23 08:23:55 GMT 2024","15689","chromium","US_01.01.00_Markets.spec.ts","US_01.01!00 | Markets > Menu section [Markets] , FCA license, EN language > TC_01.01!00_103 | Markets > Menu section [Markets] > Click button [Create account] in the block ""Why choose Capital.com for your trading?""","","","TC_01.01!00_103_Auth | Markets > Menu section [Markets] > Click button [Create account] in the block ""Why choose Capital.com for your trading?""",""
